"id","sex","education","income","internet","e_reader","number_of_books"
111453,"male","Post-graduate training","Refused","Yes","Yes","12"
111486,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","50"
111532,"female","Post-graduate training","Refused","Yes","No","4"
111534,"male","College graduate","$150,000 +","Yes","Yes","40"
111552,"female","College graduate","$50,000 - $75,000","Yes","No","8"
111558,"male","Some high school","$10,000 - $20,000","Yes","No","3"
111560,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","15"
111662,"male","Post-graduate training","$150,000 +","Yes","Yes","25"
111692,"female","Some college","$30,000 - $40,000","Yes","Yes","7"
111711,"female","Some college","$100,000 - $150,000","Yes","Yes","8"
111718,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","50"
111795,"female","High school graduate","Refused","Yes","Yes","97 or more"
111862,"male","High school graduate","$100,000 - $150,000","Yes","No","4"
111866,"female","Some high school","$40,000 - $50,000","Yes","Yes","2"
111869,"female","Post-graduate training","$150,000 +","Yes","Yes","15"
111887,"female","Some college","$75,000 - $100,000","Yes","Yes","40"
111940,"female","High school graduate","$20,000 - $30,000","Yes","No","Don't Know"
111952,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","3"
111961,"male","Post-graduate training","$75,000 - $100,000","Yes","No","6"
111975,"female","College graduate","$75,000 - $100,000","Yes","No","10"
111996,"female","Some college","$50,000 - $75,000","Yes","Yes","40"
112070,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","30"
112081,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","12"
112139,"female","Post-graduate training","$150,000 +","Yes","No","1"
112152,"male","Post-graduate training","$100,000 - $150,000","Yes","No","50"
112158,"female","College graduate","Refused","Yes","Yes","24"
112183,"male","Post-graduate training","$100,000 - $150,000","Yes","No","12"
112242,"male","Post-graduate training","Refused","Yes","Yes","70"
112304,"female","Post-graduate training","Refused","Yes","No","25"
112391,"male","College graduate","$50,000 - $75,000","Yes","No","25"
112408,"female","Post-graduate training","$40,000 - $50,000","Yes","Yes","1"
112440,"female","Some college","Refused","No","Yes","97 or more"
112479,"female","High school graduate","$100,000 - $150,000","Yes","Yes","15"
112494,"female","College graduate","Refused","Yes","No","6"
112530,"male","College graduate","$75,000 - $100,000","Yes","Yes","5"
112568,"male","Post-graduate training","Refused","Yes","Yes","3"
112589,"female","College graduate","$150,000 +","Yes","Yes","97 or more"
112610,"female","College graduate","$40,000 - $50,000","Yes","Yes","10"
112614,"male","Some college","$100,000 - $150,000","Yes","No","40"
112679,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","3"
112714,"female","High school graduate","Refused","Yes","Yes","97 or more"
112744,"male","Post-graduate training","$75,000 - $100,000","Yes","No","2"
112772,"female","College graduate","$50,000 - $75,000","Yes","Yes","15"
112843,"female","Post-graduate training","$150,000 +","Yes","Yes","36"
112855,"female","Post-graduate training","$150,000 +","Yes","Yes","20"
112862,"female","High school graduate","$20,000 - $30,000","Yes","No","8"
112865,"male","Post-graduate training","$150,000 +","Yes","Yes","30"
112899,"female","Some high school","$30,000 - $40,000","Yes","No","2"
112911,"female","College graduate","$150,000 +","Yes","No","97 or more"
112953,"female","Some college","$75,000 - $100,000","Yes","No","5"
112964,"male","College graduate","$150,000 +","Yes","Yes","15"
112965,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","4"
112998,"female","Some college","$75,000 - $100,000","Yes","No","Refused"
113009,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","50"
113053,"female","College graduate","Refused","Yes","Yes","13"
113062,"female","Some college","$50,000 - $75,000","Yes","Yes","97 or more"
113072,"female","College graduate","$150,000 +","Yes","Yes","40"
113114,"female","Post-graduate training","$150,000 +","Yes","No","12"
200001,"female","Post-graduate training","$75,000 - $100,000","Yes","No","35"
200003,"female","College graduate","Don't know","Yes","No","50"
200006,"male","High school graduate","Don't know","Yes","No","6"
200008,"male","Some college","$100,000 - $150,000","Yes","No","12"
200009,"male","College graduate","$20,000 - $30,000","Yes","No","30"
200010,"female","8th grade or less","< $10,000","Yes","No","1"
200012,"female","Some high school","< $10,000","No","No","6"
200016,"female","Some college","$100,000 - $150,000","Yes","No","22"
200022,"female","Post-graduate training","< $10,000","Yes","No","2"
200029,"female","Some college","$50,000 - $75,000","Yes","No","0"
200030,"male","Post-graduate training","$150,000 +","Yes","No","30"
200038,"male","Post-graduate training","< $10,000","Yes","No","0"
200040,"female","Post-graduate training","$100,000 - $150,000","Yes","No","6"
200044,"female","College graduate","$75,000 - $100,000","Yes","No","4"
200046,"female","High school graduate","< $10,000","Yes","No","97 or more"
200050,"male","Some college","$100,000 - $150,000","Yes","No","6"
200057,"female","Some college","Refused","Yes","No","80"
200061,"male","High school graduate","$10,000 - $20,000","Yes","No","1"
200062,"female","High school graduate","$20,000 - $30,000","No","No","6"
200069,"male","College graduate","$100,000 - $150,000","Yes","No","2"
200070,"female","Some high school","$100,000 - $150,000","Yes","No","12"
200071,"female","Some high school","< $10,000","Yes","No","1"
200073,"male","College graduate","Refused","Yes","No","10"
200074,"male","Don't know","$50,000 - $75,000","Yes","No","20"
200087,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","6"
200091,"male","High school graduate","$10,000 - $20,000","Yes","No","5"
200093,"male","High school graduate","$100,000 - $150,000","Yes","No","0"
200099,"female","Some college","$50,000 - $75,000","Yes","Yes","1"
200113,"female","College graduate","$150,000 +","Yes","Yes","11"
200119,"male","High school graduate","$50,000 - $75,000","Yes","No","6"
200141,"female","High school graduate","$20,000 - $30,000","No","No","5"
200144,"male","College graduate","$75,000 - $100,000","Yes","No","8"
200146,"female","High school graduate","$100,000 - $150,000","Yes","No","96"
200148,"male","College graduate","$30,000 - $40,000","Yes","No","4"
200149,"female","High school graduate","$10,000 - $20,000","Yes","No","50"
200155,"female","College graduate","$30,000 - $40,000","Yes","No","3"
200157,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","5"
200158,"male","Some college","$50,000 - $75,000","Yes","No","3"
200162,"male","Some college","$75,000 - $100,000","Yes","No","4"
200164,"male","Some high school","$20,000 - $30,000","Yes","No","10"
200178,"male","College graduate","$150,000 +","Yes","No","6"
200179,"male","Post-graduate training","$150,000 +","Yes","No","5"
200180,"male","8th grade or less","$10,000 - $20,000","Yes","No","0"
200197,"male","8th grade or less","$10,000 - $20,000","Yes","No","1"
200210,"female","College graduate","$100,000 - $150,000","Yes","Yes","3"
200212,"female","College graduate","$20,000 - $30,000","Yes","No","50"
200218,"male","Some high school","$40,000 - $50,000","Yes","No","4"
200225,"male","Some college","$150,000 +","Yes","No","7"
200239,"male","High school graduate","Don't know","Yes","No","4"
200243,"male","High school graduate","$20,000 - $30,000","No","No","0"
200252,"male","8th grade or less","$10,000 - $20,000","Yes","No","0"
200259,"male","Some college","$75,000 - $100,000","Yes","No","25"
200260,"female","Post-graduate training","$50,000 - $75,000","No","No","10"
200266,"male","Some college","Don't know","Yes","No","14"
200268,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","8"
200271,"male","High school graduate","$40,000 - $50,000","Yes","No","2"
200278,"female","High school graduate","$10,000 - $20,000","Yes","No","1"
200281,"male","Some college","$75,000 - $100,000","Yes","No","20"
200300,"male","College graduate","$100,000 - $150,000","Yes","Yes","75"
200302,"female","College graduate","$50,000 - $75,000","Yes","No","10"
200304,"female","Some college","$20,000 - $30,000","Yes","No","12"
200305,"female","High school graduate","$10,000 - $20,000","Yes","No","30"
200307,"female","Some college","$10,000 - $20,000","Yes","No","3"
200312,"female","Some college","Don't know","Yes","No","3"
200313,"male","High school graduate","$20,000 - $30,000","Yes","No","4"
200320,"female","Some high school","< $10,000","Yes","No","2"
200330,"male","Post-graduate training","$50,000 - $75,000","Yes","No","8"
200334,"female","Refused","Refused","Yes","No","2"
200335,"male","Some college","$30,000 - $40,000","No","No","2"
200342,"female","High school graduate","< $10,000","No","No","4"
200356,"male","High school graduate","$100,000 - $150,000","No","No","0"
200357,"male","High school graduate","$40,000 - $50,000","Yes","No","1"
200360,"female","Some college","$75,000 - $100,000","Yes","No","3"
200370,"female","Some college","$20,000 - $30,000","Yes","Yes","14"
200371,"male","Post-graduate training","$150,000 +","Yes","Yes","10"
200376,"female","College graduate","$30,000 - $40,000","Yes","No","5"
200379,"female","Some high school","$10,000 - $20,000","No","No","0"
200392,"female","High school graduate","$75,000 - $100,000","Yes","No","12"
200395,"male","College graduate","$30,000 - $40,000","Yes","Yes","15"
200399,"female","Some college","Don't know","Yes","No","97 or more"
200400,"female","High school graduate","$30,000 - $40,000","Yes","No","0"
200402,"male","Some high school","$10,000 - $20,000","No","No","0"
200412,"male","Some high school","Don't know","Yes","No","8"
200413,"male","Some college","$100,000 - $150,000","Yes","No","2"
200415,"male","Some college","< $10,000","Yes","Yes","1"
200418,"male","High school graduate","$50,000 - $75,000","No","Yes","3"
200431,"female","Some college","$10,000 - $20,000","Yes","No","13"
200434,"male","High school graduate","$75,000 - $100,000","Yes","Yes","4"
200435,"male","Some high school","< $10,000","Yes","Yes","8"
200437,"female","High school graduate","$50,000 - $75,000","Yes","No","6"
200441,"male","High school graduate","$75,000 - $100,000","Yes","No","3"
200442,"female","Some college","$40,000 - $50,000","No","Yes","3"
200445,"female","College graduate","Refused","Yes","No","12"
200450,"female","Some high school","$75,000 - $100,000","Yes","No","24"
200451,"female","College graduate","$20,000 - $30,000","Yes","No","5"
200452,"female","Refused","$30,000 - $40,000","No","No","0"
200455,"female","College graduate","$50,000 - $75,000","Yes","Yes","6"
200460,"female","College graduate","$40,000 - $50,000","Yes","No","10"
200463,"male","Some college","< $10,000","Yes","No","0"
200464,"male","High school graduate","$10,000 - $20,000","Yes","No","5"
200469,"male","Some high school","< $10,000","No","No","0"
200470,"male","College graduate","$150,000 +","Yes","No","5"
200473,"female","Some college","$40,000 - $50,000","Yes","No","12"
200475,"male","Technical school","$50,000 - $75,000","No","No","50"
200481,"male","College graduate","$20,000 - $30,000","Yes","No","4"
200484,"male","High school graduate","< $10,000","No","Refused","25"
200486,"male","High school graduate","< $10,000","No","No","2"
200490,"male","High school graduate","Don't know","Yes","No","8"
200494,"female","8th grade or less","$10,000 - $20,000","Yes","No","6"
200496,"female","Some college","$75,000 - $100,000","Yes","No","30"
200504,"male","Some college","Refused","No","No","Refused"
200510,"male","College graduate","$20,000 - $30,000","No","No","0"
200511,"male","College graduate","$100,000 - $150,000","Yes","No","30"
200512,"male","Some high school","Don't know","Yes","No","0"
200513,"female","College graduate","$10,000 - $20,000","Yes","Yes","15"
200518,"female","College graduate","$75,000 - $100,000","Yes","No","2"
200521,"male","Some high school","$30,000 - $40,000","Yes","Yes","2"
200522,"male","Some college","$50,000 - $75,000","Yes","No","2"
200524,"male","High school graduate","$30,000 - $40,000","Yes","No","1"
200528,"male","College graduate","$75,000 - $100,000","Yes","No","0"
200531,"male","Technical school","$30,000 - $40,000","Yes","No","5"
200537,"male","Some college","< $10,000","Yes","No","5"
200541,"female","High school graduate","Don't know","Yes","No","0"
200544,"female","High school graduate","$20,000 - $30,000","Yes","No","0"
200549,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","8"
200554,"female","Some college","$10,000 - $20,000","Yes","No","2"
200559,"male","High school graduate","Don't know","No","No","0"
200560,"male","High school graduate","$100,000 - $150,000","Yes","No","6"
200565,"male","Some high school","$40,000 - $50,000","Yes","No","0"
200568,"male","College graduate","$75,000 - $100,000","Yes","No","5"
200570,"female","Some college","$40,000 - $50,000","Yes","Yes","10"
200574,"female","College graduate","Refused","No","No","0"
200577,"male","Some college","$50,000 - $75,000","Yes","Yes","15"
200581,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
200602,"male","High school graduate","$40,000 - $50,000","Yes","No","1"
200605,"male","Post-graduate training","$75,000 - $100,000","Yes","No","1"
200610,"female","Some college","$50,000 - $75,000","Yes","No","60"
200611,"male","Some high school","$40,000 - $50,000","No","No","12"
200617,"female","Some college","$20,000 - $30,000","Yes","No","1"
200618,"male","High school graduate","$20,000 - $30,000","No","No","3"
200626,"male","Some high school","$150,000 +","Yes","No","4"
200632,"male","Some high school","$150,000 +","Yes","No","3"
200636,"female","Some college","Don't know","Yes","No","20"
200641,"female","High school graduate","$10,000 - $20,000","Yes","No","0"
200647,"male","College graduate","$75,000 - $100,000","Yes","Yes","20"
200664,"female","Some high school","Don't know","Yes","No","97 or more"
200669,"male","Post-graduate training","$150,000 +","Yes","No","50"
200674,"female","College graduate","$50,000 - $75,000","Yes","No","8"
200678,"male","College graduate","< $10,000","Yes","No","3"
200679,"male","College graduate","$75,000 - $100,000","Yes","No","0"
200681,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","10"
200692,"female","College graduate","$10,000 - $20,000","Yes","No","3"
200694,"female","Post-graduate training","$75,000 - $100,000","Yes","Refused","4"
200698,"male","College graduate","$75,000 - $100,000","Yes","No","20"
200703,"female","High school graduate","< $10,000","No","No","40"
200710,"male","High school graduate","$75,000 - $100,000","Yes","No","0"
200711,"male","Post-graduate training","$75,000 - $100,000","Yes","No","15"
200712,"female","College graduate","$75,000 - $100,000","Yes","No","4"
200717,"male","Some college","$30,000 - $40,000","Yes","No","Don't Know"
200718,"male","Some high school","$40,000 - $50,000","Yes","No","0"
200724,"male","College graduate","$75,000 - $100,000","Yes","No","12"
200727,"female","High school graduate","$30,000 - $40,000","Yes","No","60"
200731,"male","College graduate","$75,000 - $100,000","Yes","No","1"
200732,"male","Some college","$75,000 - $100,000","Yes","Yes","18"
200737,"female","Some college","$50,000 - $75,000","Yes","No","97 or more"
200742,"male","Some high school","Don't know","Yes","No","15"
200743,"male","Some college","$50,000 - $75,000","Yes","No","12"
200746,"male","High school graduate","Refused","Yes","No","2"
200747,"female","College graduate","$50,000 - $75,000","Yes","No","15"
200750,"male","8th grade or less","Don't know","No","No","1"
200755,"female","8th grade or less","< $10,000","Yes","No","0"
200758,"male","College graduate","$100,000 - $150,000","Yes","No","3"
200762,"female","Some college","< $10,000","Yes","No","2"
200764,"male","Some college","$10,000 - $20,000","Yes","No","30"
200779,"male","High school graduate","$20,000 - $30,000","Yes","No","0"
200788,"female","College graduate","$100,000 - $150,000","Yes","No","3"
200790,"male","College graduate","$150,000 +","Yes","No","3"
200793,"male","High school graduate","< $10,000","Yes","No","80"
200796,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","97 or more"
200800,"male","Some college","$20,000 - $30,000","Yes","No","30"
200825,"male","College graduate","$75,000 - $100,000","Yes","No","15"
200826,"male","High school graduate","$40,000 - $50,000","Yes","Yes","97 or more"
200830,"female","High school graduate","< $10,000","Yes","No","3"
200832,"female","Some high school","$10,000 - $20,000","No","Yes","50"
200835,"female","Some college","$50,000 - $75,000","Yes","No","6"
200842,"male","College graduate","$50,000 - $75,000","Yes","No","15"
200849,"male","College graduate","$40,000 - $50,000","Yes","No","45"
200854,"male","Post-graduate training","$150,000 +","Yes","No","30"
200858,"female","Post-graduate training","$150,000 +","Yes","No","1"
200860,"male","High school graduate","$30,000 - $40,000","Yes","No","5"
200862,"female","High school graduate","$20,000 - $30,000","Yes","No","7"
200863,"male","Post-graduate training","$40,000 - $50,000","Yes","No","8"
200872,"male","Some college","$50,000 - $75,000","Yes","No","5"
200875,"female","High school graduate","$100,000 - $150,000","Yes","No","5"
200876,"male","Post-graduate training","Don't know","Yes","No","Don't Know"
200882,"female","Post-graduate training","$75,000 - $100,000","No","No","6"
200883,"female","High school graduate","Don't know","Yes","No","6"
200888,"male","High school graduate","$75,000 - $100,000","Yes","No","2"
200890,"female","College graduate","$100,000 - $150,000","Yes","No","10"
200892,"male","Post-graduate training","$150,000 +","Yes","No","97 or more"
200893,"female","College graduate","$150,000 +","Yes","Yes","4"
200895,"male","High school graduate","$20,000 - $30,000","No","No","0"
200901,"male","College graduate","$150,000 +","Yes","No","12"
200903,"female","Post-graduate training","$100,000 - $150,000","Yes","No","10"
200910,"female","Post-graduate training","$100,000 - $150,000","Yes","No","3"
200915,"male","Some college","$75,000 - $100,000","Yes","No","5"
200918,"female","College graduate","$10,000 - $20,000","Yes","No","5"
200924,"male","Some college","Refused","No","No","1"
200926,"female","Some college","Refused","No","No","12"
200931,"male","Some college","$40,000 - $50,000","Yes","No","30"
200941,"female","Some college","Refused","Yes","No","4"
200946,"female","Some college","$75,000 - $100,000","Yes","No","12"
200947,"female","High school graduate","$50,000 - $75,000","Yes","No","1"
200951,"female","Some college","$40,000 - $50,000","No","No","50"
200953,"male","Technical school","$75,000 - $100,000","Yes","No","6"
200956,"female","Some college","$50,000 - $75,000","Yes","Yes","5"
200963,"male","Post-graduate training","$50,000 - $75,000","Yes","No","4"
200969,"male","High school graduate","$75,000 - $100,000","Yes","No","0"
200975,"male","High school graduate","Refused","Yes","No","0"
200981,"male","High school graduate","$50,000 - $75,000","Yes","Yes","12"
200985,"male","Technical school","$75,000 - $100,000","Yes","No","0"
200987,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","8"
200988,"female","Some high school","$10,000 - $20,000","No","No","0"
200991,"male","Some high school","$10,000 - $20,000","Yes","No","0"
200996,"male","College graduate","Refused","Yes","No","2"
201011,"male","College graduate","Refused","Yes","No","6"
201020,"female","Some college","$10,000 - $20,000","Yes","Yes","1"
201022,"female","Some high school","Don't know","Yes","No","14"
201023,"male","High school graduate","< $10,000","Yes","No","97 or more"
201027,"male","Some high school","$30,000 - $40,000","Yes","No","4"
201032,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","50"
201040,"male","Some college","$30,000 - $40,000","Yes","No","30"
201041,"male","College graduate","$100,000 - $150,000","Yes","No","5"
201048,"male","High school graduate","$10,000 - $20,000","Yes","No","0"
201053,"male","Some college","$50,000 - $75,000","Yes","Yes","12"
201055,"male","High school graduate","Refused","No","No","Don't Know"
201064,"male","High school graduate","$20,000 - $30,000","Yes","No","45"
201066,"female","Some high school","$10,000 - $20,000","Yes","No","0"
201075,"female","High school graduate","$10,000 - $20,000","Yes","No","25"
201076,"male","Post-graduate training","Refused","Yes","No","13"
201082,"male","Post-graduate training","$30,000 - $40,000","Yes","No","6"
201085,"female","College graduate","$40,000 - $50,000","Yes","No","20"
201087,"male","High school graduate","$20,000 - $30,000","Yes","No","0"
201089,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","97 or more"
201091,"female","College graduate","$30,000 - $40,000","Yes","No","4"
201095,"male","High school graduate","$50,000 - $75,000","Yes","No","12"
201099,"female","College graduate","$20,000 - $30,000","Yes","No","15"
201103,"male","High school graduate","Refused","Yes","No","1"
201122,"male","College graduate","$100,000 - $150,000","Yes","No","45"
201124,"male","Some college","$40,000 - $50,000","Yes","No","0"
201128,"male","High school graduate","$50,000 - $75,000","No","No","0"
201135,"female","High school graduate","$10,000 - $20,000","No","No","2"
201143,"male","High school graduate","Don't know","Yes","Don't know","1"
201146,"male","High school graduate","Refused","Yes","No","1"
201147,"female","Some college","$20,000 - $30,000","Yes","No","97 or more"
201159,"female","Some high school","$20,000 - $30,000","Yes","No","6"
201161,"male","High school graduate","Refused","Yes","No","0"
201162,"male","High school graduate","$30,000 - $40,000","Yes","No","0"
201168,"female","High school graduate","$20,000 - $30,000","Yes","No","5"
201170,"male","Some college","$100,000 - $150,000","Yes","No","15"
201172,"male","High school graduate","$30,000 - $40,000","Yes","No","1"
201178,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","15"
201179,"female","Technical school","$10,000 - $20,000","Yes","Yes","97 or more"
201187,"male","High school graduate","$50,000 - $75,000","Yes","No","1"
201189,"male","Some college","$50,000 - $75,000","Yes","No","0"
201193,"female","College graduate","$30,000 - $40,000","Yes","No","15"
201207,"female","Some college","$50,000 - $75,000","Yes","No","2"
201208,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","4"
201212,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
201213,"male","8th grade or less","$20,000 - $30,000","Yes","No","2"
201216,"female","Some college","$30,000 - $40,000","Yes","No","0"
201238,"male","College graduate","$75,000 - $100,000","Yes","No","20"
201239,"male","College graduate","$50,000 - $75,000","Yes","Yes","25"
201244,"male","Some high school","$30,000 - $40,000","Yes","Don't know","0"
201251,"female","High school graduate","$20,000 - $30,000","Yes","No","2"
201258,"female","College graduate","$100,000 - $150,000","Yes","Yes","5"
201260,"male","College graduate","$100,000 - $150,000","Yes","No","0"
201263,"female","High school graduate","$20,000 - $30,000","Yes","No","6"
201267,"male","Some high school","$10,000 - $20,000","Yes","No","50"
201278,"female","Post-graduate training","$150,000 +","Yes","Yes","80"
201281,"female","Some college","$10,000 - $20,000","Yes","No","5"
201282,"male","High school graduate","$10,000 - $20,000","Yes","No","7"
201283,"male","Some high school","$75,000 - $100,000","Yes","No","6"
201287,"female","College graduate","$75,000 - $100,000","Yes","No","97 or more"
201290,"female","Some college","$40,000 - $50,000","Yes","Yes","30"
201291,"male","Some high school","$50,000 - $75,000","Yes","No","50"
201302,"male","College graduate","$100,000 - $150,000","Yes","Yes","15"
201304,"male","College graduate","$30,000 - $40,000","Yes","No","3"
201311,"female","College graduate","$75,000 - $100,000","Yes","No","12"
201314,"female","College graduate","$75,000 - $100,000","Yes","No","5"
201315,"male","Some college","$150,000 +","Yes","No","6"
201318,"female","College graduate","$150,000 +","Yes","Yes","35"
201320,"female","Some college","$30,000 - $40,000","Yes","No","5"
201324,"male","8th grade or less","$20,000 - $30,000","No","No","0"
201326,"female","Post-graduate training","$50,000 - $75,000","Yes","No","97 or more"
201332,"female","High school graduate","$50,000 - $75,000","Yes","No","12"
201334,"male","Some high school","Don't know","Yes","No","6"
201341,"male","High school graduate","$30,000 - $40,000","Yes","No","2"
201344,"female","High school graduate","$30,000 - $40,000","Yes","No","3"
201345,"female","College graduate","$50,000 - $75,000","Yes","No","60"
201351,"male","College graduate","$150,000 +","Yes","No","3"
201353,"female","Some college","Don't know","Yes","No","3"
201355,"male","College graduate","$100,000 - $150,000","Yes","No","5"
201359,"male","Some college","$50,000 - $75,000","Yes","No","20"
201364,"female","High school graduate","$75,000 - $100,000","Yes","No","6"
201367,"male","Some college","$50,000 - $75,000","Yes","No","6"
201368,"female","Some college","$30,000 - $40,000","Yes","No","12"
201374,"female","College graduate","$30,000 - $40,000","Yes","Yes","3"
201375,"female","College graduate","$150,000 +","Yes","No","10"
201378,"male","Some college","$50,000 - $75,000","Yes","No","30"
201384,"male","Some high school","Don't know","Yes","No","3"
201386,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","10"
201391,"male","Some college","$50,000 - $75,000","Yes","No","12"
201395,"female","8th grade or less","< $10,000","No","No","Don't Know"
201416,"male","Some college","$20,000 - $30,000","Yes","No","47"
201422,"female","Some high school","$100,000 - $150,000","Yes","No","20"
201434,"male","High school graduate","Don't know","Yes","Yes","6"
201443,"male","Some college","$30,000 - $40,000","No","No","6"
201447,"male","High school graduate","$50,000 - $75,000","Yes","No","2"
201454,"female","Some college","$150,000 +","Yes","No","26"
201457,"male","College graduate","$50,000 - $75,000","Yes","No","24"
201458,"male","High school graduate","< $10,000","No","No","6"
201468,"female","College graduate","$10,000 - $20,000","Yes","No","10"
201469,"male","Some college","Don't know","Yes","No","60"
201473,"male","Technical school","$75,000 - $100,000","Yes","No","0"
201486,"female","High school graduate","$75,000 - $100,000","Yes","No","7"
201491,"male","College graduate","$100,000 - $150,000","Yes","No","30"
201496,"female","Post-graduate training","$100,000 - $150,000","Don't know","No","97 or more"
201499,"female","College graduate","$40,000 - $50,000","Yes","No","50"
201501,"female","Some college","$75,000 - $100,000","Yes","No","6"
201509,"female","College graduate","Refused","No","No","6"
201510,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","5"
201512,"female","Some college","$20,000 - $30,000","Yes","No","2"
201514,"female","Some college","< $10,000","Yes","No","9"
201520,"female","Some college","$100,000 - $150,000","Yes","Yes","20"
201521,"male","College graduate","Refused","Yes","No","10"
201527,"male","High school graduate","$50,000 - $75,000","Yes","Yes","0"
201533,"female","College graduate","$20,000 - $30,000","Yes","No","25"
201540,"male","High school graduate","$10,000 - $20,000","No","No","2"
201554,"male","High school graduate","< $10,000","No","No","0"
201555,"male","Some college","$10,000 - $20,000","Yes","No","20"
201560,"male","College graduate","$30,000 - $40,000","No","No","15"
201566,"male","Post-graduate training","Refused","Yes","No","36"
201567,"female","Some college","$10,000 - $20,000","Yes","No","45"
201572,"male","College graduate","Don't know","Yes","No","1"
201574,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
201575,"female","High school graduate","< $10,000","Yes","No","1"
201578,"female","High school graduate","$20,000 - $30,000","Yes","No","97 or more"
201583,"male","College graduate","$100,000 - $150,000","Yes","No","20"
201590,"female","Don't know","Don't know","Yes","No","Don't Know"
201594,"female","Post-graduate training","$30,000 - $40,000","Yes","No","50"
201595,"male","College graduate","$75,000 - $100,000","Yes","No","20"
201601,"female","Post-graduate training","Refused","Yes","No","2"
201614,"male","College graduate","$50,000 - $75,000","Yes","No","17"
201620,"male","High school graduate","$10,000 - $20,000","Yes","No","1"
201622,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
201624,"male","Some college","$20,000 - $30,000","Yes","No","2"
201635,"male","Some high school","$30,000 - $40,000","Yes","No","0"
201636,"male","Post-graduate training","$150,000 +","Yes","No","0"
201642,"female","High school graduate","Don't know","No","No","Refused"
201643,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","25"
201649,"male","Some college","$75,000 - $100,000","Yes","No","12"
201653,"female","Some college","$50,000 - $75,000","Yes","No","12"
201660,"female","High school graduate","Refused","No","No","1"
201670,"male","College graduate","$20,000 - $30,000","Yes","No","30"
201675,"male","Post-graduate training","$150,000 +","Yes","No","15"
201676,"male","High school graduate","$30,000 - $40,000","Yes","No","5"
201677,"male","Some college","$50,000 - $75,000","Yes","No","20"
201679,"male","Post-graduate training","$100,000 - $150,000","Yes","No","10"
201682,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
201687,"male","Some high school","Refused","Yes","No","2"
201688,"female","Some high school","$10,000 - $20,000","Yes","No","36"
201689,"female","Post-graduate training","$150,000 +","Yes","No","5"
201691,"female","8th grade or less","< $10,000","Yes","No","2"
201692,"male","Some college","$20,000 - $30,000","Yes","No","2"
201695,"female","College graduate","$75,000 - $100,000","Yes","Yes","25"
201698,"female","Post-graduate training","$30,000 - $40,000","Yes","No","25"
201699,"male","Post-graduate training","Refused","Yes","Yes","40"
201704,"female","Post-graduate training","$75,000 - $100,000","Yes","No","2"
201705,"male","College graduate","$50,000 - $75,000","Yes","No","2"
201708,"male","College graduate","< $10,000","Yes","No","15"
201710,"female","Some college","$40,000 - $50,000","Yes","No","15"
201712,"male","Some college","$100,000 - $150,000","Yes","No","15"
201716,"female","Some college","$10,000 - $20,000","Yes","No","96"
201719,"female","College graduate","$20,000 - $30,000","Yes","No","97 or more"
201720,"male","College graduate","$50,000 - $75,000","Yes","No","5"
201722,"female","Refused","$10,000 - $20,000","Yes","No","0"
201728,"male","College graduate","$30,000 - $40,000","Yes","No","2"
201732,"female","Some college","Don't know","Yes","No","7"
201738,"female","High school graduate","$100,000 - $150,000","Yes","No","2"
201740,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
201756,"male","Post-graduate training","$150,000 +","Yes","No","4"
201764,"female","College graduate","$75,000 - $100,000","Yes","No","3"
201765,"male","College graduate","$150,000 +","Yes","No","15"
201769,"male","Some college","Refused","Yes","No","2"
201770,"female","Don't know","Refused","Yes","No","0"
201774,"male","Post-graduate training","$150,000 +","Yes","No","20"
201780,"male","Some college","$20,000 - $30,000","Yes","No","0"
201781,"male","High school graduate","$40,000 - $50,000","Yes","No","3"
201782,"female","College graduate","$50,000 - $75,000","Yes","No","1"
201788,"female","Some high school","$75,000 - $100,000","Yes","No","15"
201793,"male","Some high school","< $10,000","No","No","25"
